,Tweets,len,ID,Date,Source,Likes,RT
101,"RT @Rahul__Prasad: #Salute And #dilsethankyou Each And Every Single #CoronaWarriorsIndia Of Our #country Who Are #working For Us, In #Betwe…",140,1256894778320531456,2020-05-03 10:34:01,Twitter Web App,0,8
102,#coronavirusindia The headquarters of the Central Reserve Police Force (CRPF) in Delhi has been sealed for sanitisa… https://t.co/DvYBWNbZjI,140,1256894744115810309,2020-05-03 10:33:53,Twitter Web App,0,0
103,"RT @Rahul__Prasad: #Salute And #dilsethankyou Each And Every Single #CoronaWarriorsIndia Of Our #country Who Are #working For Us, In #Betwe…",140,1256894633457651712,2020-05-03 10:33:27,Twitter Web App,0,8
104,#COVID19 #Covid_19 #StayAtHome #StayHomeSaveLives #COVIDー19 #COVID19India #coronavirusindia #lockdown3… https://t.co/G3AuJ2Lg0U,127,1256894476880162816,2020-05-03 10:32:49,Twitter Web App,0,0
105,"RT @Rahul__Prasad: #Salute And #dilsethankyou Each And Every Single #CoronaWarriorsIndia Of Our #country Who Are #working For Us, In #Betwe…",140,1256894471775666176,2020-05-03 10:32:48,Twitter Web App,0,8
106,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256894326275219456,2020-05-03 10:32:14,Twitter for Android,0,85
107,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256894137887936515,2020-05-03 10:31:29,Twitter for Android,0,85
108,"RT @amitjoshitrek: राज्यात containment zone वगळता सर्व ठिकाणी ( रेड झोनमध्ये काही अटींसह ) मद्य विक्रीला राज्य शासनाची परवानगी

#coronaviru…",140,1256894092962697217,2020-05-03 10:31:18,Twitter Web App,0,3
109,#CoronavirusIndia | Report Generated By Bot https://t.co/6eLwr4GHqZ,67,1256893923148083205,2020-05-03 10:30:37,India COVID-19 Tracker,0,0
110,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256893803094593537,2020-05-03 10:30:09,Twitter Web App,0,85
111,"""DIL SE THANK YOU &amp; SALUTE""
For all corona warriors in India.

#IndiaSalutesCoronaWarriors #indianairforce… https://t.co/DL4qeJDvEQ",135,1256893775198203905,2020-05-03 10:30:02,Twitter for Android,1,0
112,"Imagine everything we can make! ☢️⚠️♻️
#quarantine #covid_19 #coronavirusindia @ Mall Road , Manali https://t.co/hS1q5hBrlX",123,1256893726548516864,2020-05-03 10:29:51,Instagram,0,0
113,"#CoronaWarriors 
#COVIDー19 
#CoronaUpdatesInIndia 
#COVID2019india 
#coronaworldupdate 
#coronavirusindia… https://t.co/ZDXyfQXwu7",130,1256893651835334661,2020-05-03 10:29:33,Twitter for Android,1,0
114,"Thanks to the latest contribution from Rushikesh Bhingare and his friends and colleagues, our count is now 69 famil… https://t.co/Jnfu6M7LLk",140,1256893635250929664,2020-05-03 10:29:29,Twitter Web App,1,0
115,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256893606083715072,2020-05-03 10:29:22,Twitter Web App,0,85
116,"RT @amitjoshitrek: राज्यात containment zone वगळता सर्व ठिकाणी ( रेड झोनमध्ये काही अटींसह ) मद्य विक्रीला राज्य शासनाची परवानगी

#coronaviru…",140,1256893601151356936,2020-05-03 10:29:21,Twitter for Android,0,3
117,"RT @ptcnews: ਗਿਆਨ ਸਾਗਰ ਮੈਡੀਕਲ ਕਾਲਜ ਦੇ ਇੰਟਰਨਾਂ ਲਈ ਕੇਂਦਰੀ ਮੰਤਰੀ ਹਰਸਿਮਰਤ ਕੌਰ ਬਾਦਲ ਨੇ ਚੁੱਕੀ ਆਵਾਜ਼ 
#Punjab  #punjabinews #PunjabiLatestNews   #…",140,1256893556863709184,2020-05-03 10:29:10,Twitter for Android,0,61
118,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256893504011239429,2020-05-03 10:28:57,Twitter for Android,0,85
119,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256893478341996545,2020-05-03 10:28:51,Twitter for Android,0,85
120,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256893462521225216,2020-05-03 10:28:48,Twitter for Android,0,85
